2011 03   0.21168414
2011 04   0.22140497
2011 05   0.23885457
2011 06   0.27785280
2011 07   0.29043720
2011 08   0.32936839
2011 09   0.37321266
2011 10   0.41049658
2011 11   0.42248719
2011 12   0.43599100
2012 01   0.41491165
2012 02   0.39958818
2012 03   0.36788776
2012 04   0.36439209
2012 05   0.34626251
2012 06   0.36210315
2012 07   0.36915194
2012 08   0.37670833
2012 09   0.36412393
2012 10   0.37028205
2012 11   0.33829431
2012 12   0.33398458
2013 01   0.33546904
2013 02   0.34347555
2013 03   0.33350572
2013 04   0.34046832
2013 05   0.32904276
2013 06   0.32752957
2013 07   0.34812048
2013 08   0.37094287
2013 09   0.38690801
2013 10   0.43666140
2013 11   0.48895274
2013 12   0.52304745
2014 01   0.56241919
2014 02   0.55978547
2014 03   0.53449217
2014 04   0.52472346
2014 05   0.48820572
2014 06   0.46564191
2014 07   0.46994206
2014 08   0.48124312
2014 09   0.50893071
2014 10   0.52773069
2014 11   0.51913039
2014 12   0.52136187
2015 01   0.50458267
2015 02   0.47112005
2015 03   0.44507015
2015 04   0.39524972
2015 05   0.36070488
2015 06   0.33491357
2015 07   0.31299143
2015 08   0.29444045
2015 09   0.28724800
2015 10   0.26340085
2015 11   0.26024996
2015 12   0.24636307
2016 01   0.23818417
2016 02   0.22799406
2016 03   0.20143658
2016 04   0.17631566
2016 05   0.15860748
2016 06   0.14303500
2016 07   0.13797826
2016 08   0.12373701
2016 09   0.10643107
2016 10   0.10204473
2016 11   0.09308050
2016 12   0.08306278
2017 01   0.07679931
2017 02   0.06477996
2017 03   0.06118853
2017 04   0.06338170
2017 05   0.06422449
2017 06   0.08198056
2017 07   0.08360868
2017 08   0.07534358
