Wet/Dry Deposition Params (rev Prather & Neu, 1/2008)    
(i2,1x,a10,l3,f7.2,e9.1,f7.0,e9.1,f7.0,f4.0,3e9.2,9f5.1)
43 tracers    AER   WETL   TCHENA TCHENB   TCKAQA TCKAQB ION   DEPLA    DEPOC    DEPCR	   L1   L2   L3   L4   L5   L6   L7   L8   L9
27 ROHOO       F   0.00  0.0d 00      0  1.00d 0      0   0  6.4d-01  1.0d 00  1.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 27  ROHOO      
28 Alkene      F   0.00  7.4d-03   3400  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 28  Alkene     
29 Aromatic    F   0.00  1.5d-01   4000  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 29  Aromatic   
30 Isoprene    F   0.00  1.3d-02      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 30  Isoprene   
31 MVKMACR     F   0.00  2.1d 01   7800  1.00d 0      0   0  7.0d-02  5.0d-02  5.0d-02  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 31  MVKMACR    
32 H2S         F   0.00  8.7d-02   2100  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 32  H2S        
33 Me2S        F   0.00  5.6d-01   3500  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 33  Me2S       
34 Me2SO       F   0.00  5.0d 04      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 34  Me2SO      
35 Me2SO2      F   0.00  5.0d 04      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 35  Me2SO2     
36 MeSO3H      T   0.00  1.0d 08      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 36  MeSO3H     
37 SO2         F   0.00  1.2d 00   3200  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 37  SO2        
38 SO3         F   0.00  1.0d 08      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 38  SO3        
39 H2SO4       T   0.00  1.0d 08      0  1.00d 0      1   1  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 39  H2SO4      
40 SF6         F   0.00  2.4d-04   2400  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 40  SF6        
41 Rn          F   0.00  9.3d-03   2600  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 41  Rn         
42 Pb          T   0.00        0      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  4.0  4.0 10.0 20.0 20.0 20.0 40.0 40.0  0.0 42  Pb         
43 CO2         F   0.00        0      0  1.00d 0      0   0  0.0d 00  0.0d 00  0.0d 00  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 43  CO2        
43 tracer     AER   WETL   TCHENA TCHENB   TCKAQA TCKAQB ION   DEPLA    DEPOC    DEPCR	   L1   L2   L3   L4   L5   L6   L7   L8   L9

