Cumulative emissions of NOx from lightning
t top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
O. A. Sovde, August 2011
Taken from Table 2, Pickering et al., JGR, 1998
 
 For subtropics I use midlatitude  
------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       4.3931       6.0901      15.2243      15.2243
       4.4238       6.1327      15.3308      15.3308
       4.4545       6.1753      15.4372      15.4372
       4.4852       6.2179      15.5437      15.5437
       4.5160       6.2605      15.6501      15.6501
       4.5467       6.3030      15.7566      15.7566
       4.5774       6.3456      15.8631      15.8631
       4.6081       6.3882      15.9695      15.9695
       4.6388       6.4308      16.0760      16.0760
       4.6696       6.4734      16.1825      16.1825
       4.7003       6.5160      16.2889      16.2889
       4.7310       6.5586      16.3954      16.3954
       4.7617       6.6012      16.5019      16.5019
       4.7924       6.6438      16.6083      16.6083
       4.8232       6.6863      16.7148      16.7148
       4.8539       6.7289      16.8212      16.8212
       4.8846       6.7715      16.9277      16.9277
       4.9153       6.8141      17.0342      17.0342
       4.9461       6.8567      17.1406      17.1406
       4.9768       6.8993      17.2471      17.2471
       5.0075       6.9419      17.3536      17.3536
       5.0382       6.9845      17.4600      17.4600
       5.0689       7.0270      17.5665      17.5665
       5.0997       7.0696      17.6729      17.6729
       5.1304       7.1122      17.7794      17.7794
       5.1611       7.1548      17.8859      17.8859
       5.1918       7.1974      17.9923      17.9923
       5.2225       7.2400      18.0988      18.0988
       5.2533       7.2826      18.2053      18.2053
       5.2840       7.3252      18.3117      18.3117
       5.3147       7.3678      18.4182      18.4182
       5.3454       7.4103      18.5247      18.5247
       5.3761       7.4529      18.6311      18.6311
       5.4069       7.4955      18.7376      18.7376
       5.4376       7.5381      18.8440      18.8440
       5.4683       7.5807      18.9505      18.9505
       5.4990       7.6233      19.0570      19.0570
       5.5297       7.6659      19.1634      19.1634
       5.5605       7.7085      19.2699      19.2699
       5.5912       7.7510      19.3764      19.3764
       5.6219       7.7936      19.4828      19.4828
       5.6526       7.8362      19.5893      19.5893
       5.6834       7.8788      19.6958      19.6958
       5.7141       7.9214      19.8022      19.8022
       5.7448       7.9640      19.9087      19.9087
       5.7755       8.0066      20.0151      20.0151
       5.7945       8.0241      20.0495      20.0495
       5.8099       8.0340      20.0617      20.0617
       5.8252       8.0439      20.0739      20.0739
       5.8406       8.0537      20.0861      20.0861
       5.8559       8.0636      20.0982      20.0982
       5.8713       8.0735      20.1104      20.1104
       5.8867       8.0834      20.1226      20.1226
       5.9020       8.0932      20.1348      20.1348
       5.9174       8.1031      20.1470      20.1470
       5.9327       8.1130      20.1592      20.1592
       5.9481       8.1228      20.1713      20.1713
       5.9635       8.1327      20.1835      20.1835
       5.9788       8.1426      20.1957      20.1957
       5.9942       8.1524      20.2079      20.2079
       6.0095       8.1623      20.2201      20.2201
       6.0249       8.1722      20.2323      20.2323
       6.0403       8.1820      20.2444      20.2444
       6.0556       8.1919      20.2566      20.2566
       6.0710       8.2018      20.2688      20.2688
       6.0863       8.2116      20.2810      20.2810
       6.1017       8.2215      20.2932      20.2932
       6.1171       8.2314      20.3053      20.3053
       6.1324       8.2412      20.3175      20.3175
       6.1478       8.2511      20.3297      20.3297
       6.1631       8.2610      20.3419      20.3419
       6.1785       8.2708      20.3541      20.3541
       6.1939       8.2807      20.3663      20.3663
       6.2092       8.2906      20.3784      20.3784
       6.2246       8.3004      20.3906      20.3906
       6.2399       8.3103      20.4028      20.4028
       6.2553       8.3202      20.4150      20.4150
       6.2707       8.3301      20.4272      20.4272
       6.2860       8.3399      20.4394      20.4394
       6.3014       8.3498      20.4515      20.4515
       6.3167       8.3597      20.4637      20.4637
       6.3321       8.3695      20.4759      20.4759
       6.3475       8.3794      20.4881      20.4881
       6.3628       8.3893      20.5003      20.5003
       6.3782       8.3991      20.5124      20.5124
       6.3935       8.4090      20.5246      20.5246
       6.4089       8.4189      20.5368      20.5368
       6.4243       8.4287      20.5490      20.5490
       6.4396       8.4386      20.5612      20.5612
       6.4550       8.4485      20.5734      20.5734
       6.4703       8.4583      20.5855      20.5855
       6.4857       8.4682      20.5977      20.5977
       6.5011       8.4781      20.6099      20.6099
       6.5164       8.4879      20.6221      20.6221
       6.5318       8.4978      20.6343      20.6343
       6.5472       8.5077      20.6465      20.6465
       6.5625       8.5175      20.6586      20.6586
       6.5779       8.5274      20.6708      20.6708
       6.5932       8.5373      20.6830      20.6830
       6.6086       8.5471      20.6952      20.6952
       6.6240       8.5570      20.7074      20.7074
       6.6393       8.5669      20.7195      20.7195
       6.6547       8.5768      20.7317      20.7317
       6.6700       8.5866      20.7439      20.7439
       6.6854       8.5965      20.7561      20.7561
       6.7008       8.6064      20.7683      20.7683
       6.7161       8.6162      20.7805      20.7805
       6.7315       8.6261      20.7926      20.7926
       6.7468       8.6360      20.8048      20.8048
       6.7622       8.6458      20.8170      20.8170
       6.7776       8.6557      20.8292      20.8292
       6.7929       8.6656      20.8414      20.8414
       6.8083       8.6754      20.8536      20.8536
       6.8236       8.6853      20.8657      20.8657
       6.8390       8.6952      20.8779      20.8779
       6.8544       8.7050      20.8901      20.8901
       6.8697       8.7149      20.9023      20.9023
       6.8851       8.7248      20.9145      20.9145
       6.9004       8.7346      20.9266      20.9266
       6.9158       8.7445      20.9388      20.9388
       6.9312       8.7544      20.9510      20.9510
       6.9465       8.7642      20.9632      20.9632
       6.9619       8.7741      20.9754      20.9754
       6.9772       8.7840      20.9876      20.9876
       6.9926       8.7938      20.9997      20.9997
       7.0080       8.8037      21.0119      21.0119
       7.0233       8.8136      21.0241      21.0241
       7.0387       8.8235      21.0363      21.0363
       7.0540       8.8333      21.0485      21.0485
       7.0694       8.8432      21.0607      21.0607
       7.0848       8.8531      21.0728      21.0728
       7.1001       8.8629      21.0850      21.0850
       7.1155       8.8728      21.0972      21.0972
       7.1308       8.8827      21.1094      21.1094
       7.1462       8.8925      21.1216      21.1216
       7.1616       8.9024      21.1337      21.1337
       7.1769       8.9123      21.1459      21.1459
       7.1923       8.9221      21.1581      21.1581
       7.2076       8.9320      21.1703      21.1703
       7.2230       8.9419      21.1825      21.1825
       7.2384       8.9517      21.1947      21.1947
       7.2537       8.9616      21.2068      21.2068
       7.2691       8.9715      21.2190      21.2190
       7.2845       8.9813      21.2312      21.2312
       7.2998       8.9912      21.2434      21.2434
       7.3152       9.0011      21.2556      21.2556
       7.3305       9.0109      21.2678      21.2678
       7.3459       9.0208      21.2799      21.2799
       7.3613       9.0307      21.2921      21.2921
       7.3766       9.0405      21.3043      21.3043
       7.3920       9.0504      21.3165      21.3165
       7.4073       9.0603      21.3287      21.3287
       7.4227       9.0702      21.3408      21.3408
       7.4381       9.0800      21.3530      21.3530
       7.4534       9.0899      21.3652      21.3652
       7.4688       9.0998      21.3774      21.3774
       7.4841       9.1096      21.3896      21.3896
       7.4995       9.1195      21.4018      21.4018
       7.5149       9.1294      21.4139      21.4139
       7.5302       9.1392      21.4261      21.4261
       7.5456       9.1491      21.4383      21.4383
       7.5609       9.1590      21.4505      21.4505
       7.5763       9.1688      21.4627      21.4627
       7.5917       9.1787      21.4749      21.4749
       7.6070       9.1886      21.4870      21.4870
       7.6224       9.1984      21.4992      21.4992
       7.6377       9.2083      21.5114      21.5114
       7.6531       9.2182      21.5236      21.5236
       7.6685       9.2280      21.5358      21.5358
       7.6838       9.2379      21.5479      21.5479
       7.6992       9.2478      21.5601      21.5601
       7.7145       9.2576      21.5723      21.5723
       7.7299       9.2675      21.5845      21.5845
       7.7453       9.2774      21.5967      21.5967
