Cumulative emissions of NOx from lightning
At top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
Lee T. Murray, 20th April 2009
Taken from Table 2, Ott et al., submitted to JGR, 2009


------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       0.4591       0.1530       1.5125       0.7202
       0.4623       0.1541       1.5230       0.7252
       0.4655       0.1552       1.5335       0.7302
       0.4687       0.1562       1.5440       0.7352
       0.4719       0.1573       1.5545       0.7402
       0.4751       0.1584       1.5650       0.7452
       0.4783       0.1594       1.5755       0.7502
       0.4815       0.1605       1.5860       0.7552
       0.4847       0.1616       1.5965       0.7602
       0.4878       0.1626       1.6070       0.7652
       0.4910       0.1637       1.6175       0.7702
       0.4942       0.1647       1.6280       0.7752
       0.4974       0.1658       1.6385       0.7802
       0.5006       0.1669       1.6490       0.7852
       0.5038       0.1679       1.6595       0.7902
       0.5070       0.1690       1.6700       0.7952
       0.5102       0.1701       1.6805       0.8003
       0.5133       0.1711       1.6910       0.8053
       0.5165       0.1722       1.7015       0.8103
       0.5197       0.1732       1.7120       0.8153
       0.5229       0.1743       1.7225       0.8203
       0.5261       0.1754       1.7330       0.8253
       0.5293       0.1764       1.7435       0.8303
       0.5325       0.1775       1.7540       0.8353
       0.5357       0.1786       1.7646       0.8403
       0.5389       0.1796       1.7751       0.8453
       0.5420       0.1807       1.7856       0.8503
       0.5452       0.1817       1.7961       0.8553
       0.5484       0.1828       1.8066       0.8603
       0.5516       0.1839       1.8171       0.8653
       0.5548       0.1849       1.8276       0.8703
       0.5580       0.1860       1.8381       0.8753
       0.5612       0.1871       1.8486       0.8803
       0.5644       0.1881       1.8591       0.8853
       0.5676       0.1892       1.8696       0.8903
       0.5707       0.1902       1.8801       0.8953
       0.5739       0.1913       1.8906       0.9003
       0.5771       0.1924       1.9011       0.9053
       0.5803       0.1934       1.9116       0.9103
       0.5835       0.1945       1.9221       0.9153
